"dota"
{
"InfoScreenClose"	"Fortsätt"
"basics_alert_TangoUsageBody"	"En Tango låter dig äta ett träd för att återställa lite hälsa över tid.\n\nDu har redan aktiverat Tangon, antingen av att ha klickat på dess ikon eller tryckt på dess tangent. Vänsterklicka nu på ett träd för att använda en Tango."
"[english]basics_alert_TangoUsageBody"	"A Tango allows you to consume a tree to restore a small amount of health over time.\n\nYou have already activated the Tango, either by clicking on its icon, or pressing its key. Now, left-click on a tree to use a Tango."
"basics_alert_SalveUsageTitle"	"Använda en Healing Salve"
"[english]basics_alert_SalveUsageTitle"	"Using a Healing Salve"
"basics_alert_SalveUsageBody"	"Healing Salve kan snabbt hela hjälten den används på (vänsterklicka).\n\nOm skada tas så avbryts den helande effekten."
"[english]basics_alert_SalveUsageBody"	"Healing Salves can quickly heal the hero you target (left-click).\n\nTaking damage will cancel the healing effect."
"basics_alert_ClarityUsageTitle"	"Använda en Clarity"
"[english]basics_alert_ClarityUsageTitle"	"Using a Clarity"
"basics_alert_ClarityUsageBody"	"Clarity återställer sakta mana till hjälten du använder den på.\n\nOm skada tas så avbryts den återställande effekten."
"[english]basics_alert_ClarityUsageBody"	"The Clarity potion slowly regenerates mana on the hero you target.\n\nTaking damage will cancel the regenerating effect."
"basics_ExcessiveTowerDamageTitle"	"Torn är farliga. Backa!"
"[english]basics_ExcessiveTowerDamageTitle"	"Towers are Dangerous. Retreat!"
"basics_ExcessiveTowerDamageBody"	"Aj! Du har tagit mycket skada från tornet!\n\nBacka tills tornet börjar attackera något annat."
"[english]basics_ExcessiveTowerDamageBody"	"Ouch! You are taking a lot of damage from the Tower!\n\nBack up until the Tower begins to attack something else."
"basics_objective_CloseShopTitle"	"Stäng butiken (vänsterklick)"
"[english]basics_objective_CloseShopTitle"	"Close the Shop (left-click)"
"basics_objective_CloseShopBody"	"Klicka på Butik-knappen igen för att stänga butiken."
"[english]basics_objective_CloseShopBody"	"Click the Shop button again to close the shop."
"basics_objective_BackToCombatTitle"	"Gå tillbaks till Middle Lane"
"[english]basics_objective_BackToCombatTitle"	"Return to the Middle Lane"
"basics_HeroIntroTitle"	"Din hjälte och ditt lag"
"[english]basics_HeroIntroTitle"	"Your Hero & Your Team"
"basics_HeroIntroBody"	"Välkommen till Dota! I denna handledning går vi igenom grunderna.\n\nDu kommer kontrollera Luna, en snabb hjälte som kastar klingor mot sina fiender från ett kort avstånd, och framkallar skadliga strålar från skyn. Du kommer spela i laget Radiant, mot fiendelaget Dire."
"[english]basics_HeroIntroBody"	"Welcome to Dota! In this tutorial, we will teach you the basics.\n\nYou will be controlling Luna, a swift hero who throws blades at her enemies from a short distance, and summons damaging beams from the sky. You will be playing for the Radiant team, against the enemy Dire team."
"basics_FountainIntroTitle"	"Fontänen: En helande källa"
"[english]basics_FountainIntroTitle"	"The Fountain: A Source of Healing"
"basics_FountainIntroBody"	"Din hjälte börjar i ditt lags fontän i varje match. Om du faller i strid kommer du även återskapas här.\n\nAtt vara nära ditt lags fontän kommer snabbt återställa din hälsa och mana."
"[english]basics_FountainIntroBody"	"Your hero begins each match at your team's fountain. If you fall in battle, you will respawn here as well.\n\nBeing near your team's fountain will quickly restore your health and mana."
"basics_MovingYourHeroTitle"	"Grundläggande hjälte- och kamerakontroller"
"[english]basics_MovingYourHeroTitle"	"Basic Hero & Camera Controls"
"basics_MovingYourHeroBody"	"Förflyttnings- och attackkommandon görs genom att högerklicka dit du vill att din hjälte ska gå, eller vad denne ska attackera.\n\nKameravyn kan flyttas genom att röra skärmens kant med muspekaren. Närsomhelst kan du centrera vyn på din hjälte genom att trycka på {g:dota_key:keyname}."
"[english]basics_MovingYourHeroBody"	"Movement and attack commands are issued by right-clicking where you would like them to go, or on what you would like them to attack.\n\nThe camera view can be moved by touching your mouse cursor to the edge of the screen. At any time, you may center the view on your hero by pressing {g:dota_key:keyname}."
"basics_objective_MoveToAncientTitle"	"Gå till din Ancient"
"[english]basics_objective_MoveToAncientTitle"	"Move to your Ancient"
"basics_objective_MoveToAncientBody"	"Högerklicka för att flytta din hjälte."
"[english]basics_objective_MoveToAncientBody"	"Right-click to move your hero."
"basics_AncientIntroTitle"	"Din Ancient: Försvara den till varje pris"
"[english]basics_AncientIntroTitle"	"Your Ancient: Defend It at All Costs"
"basics_AncientIntroBody"	"Denna Ancient tillhör laget Radiant, alltså din Ancient.\n\nFör att vinna en match i Dota måste ditt lag förstöra fiendelagets Ancient innan fienden förstör ert."
"[english]basics_AncientIntroBody"	"This is the Radiant team's Ancient, your Ancient.\n\nIn Dota, in order to win a match your team must destroy the enemy's Ancient before the enemy can destroy yours."
"basics_SpendGoldTitle"	"Spendera alltid ditt startguld"
"[english]basics_SpendGoldTitle"	"Always Spend Your Starting Gold"
"basics_SpendGoldBody"	"I början av varje match får spelarna en liten mängd startguld. Kom ihåg att alltid spendera detta guld på föremål i butiken innan du ger dig ut på slagfältet.\n\nButiken finns i ditt lags fontän. Gå dit nu."
"[english]basics_SpendGoldBody"	"At the start of every match, players are given a small amount of starting gold. Always remember spend this gold on items from the shop before heading into the field.\n\nThe shop is available back at your team's fountain. Head there now."
"basics_objective_MoveToShopTitle"	"Gå tillbaka till Fontänen"
"[english]basics_objective_MoveToShopTitle"	"Return to the Fountain"
"basics_objective_MoveToShopBody"	"Gå (högerklicka) tillbaka till butiken nära Fontänen."
"[english]basics_objective_MoveToShopBody"	"Move (right-click) back to the shop near the fountain."
"basics_objective_OpenShopTitle"	"Öppna butiken"
"[english]basics_objective_OpenShopTitle"	"Open the Shop"
"basics_objective_OpenShopBody"	"Vänsterklicka på Butik-knappen som finns nära det nedre hörnet av skärmen för att öppna Butiken."
"[english]basics_objective_OpenShopBody"	"Left-click the Shop button near the lower corner of your screen to open the shop."
"basics_BuyFromShopTitle"	"Butiken: Utrusta din hjälte för seger"
"[english]basics_BuyFromShopTitle"	"The Shop: Equipping your Hero for Victory"
"basics_BuyFromShopBody"	"Föremål har flera användningsområden i Dota. Vissa helar, andra ökar passivt en hjältes kraft, och några ger till och med unika förmågor.\n\nLägg märke till att Butiken visar en lista med föreslagna föremål för din hjälte. Vi rekommenderar att du köper föremål från denna lista medan du lär dig Dota."
"[english]basics_BuyFromShopBody"	"Items have several uses in Dota. Some heal, others passively increase a hero's power, and some even provide unique abilities.\n\nNotice that the Shop displays a list of Suggested Items for your hero. We recommend that you purchase items from this list as you learn Dota."
"basics_objective_BuyTangoesTitle"	"Köp Tango"
"[english]basics_objective_BuyTangoesTitle"	"Purchase Tango"
"basics_objective_BuyTangoesBody"	"Högerklicka på föremålet Tango i Butiken för att köpa det."
"[english]basics_objective_BuyTangoesBody"	"Right-click the Tango item in the shop to purchase."
"basics_objective_BuySalveTitle"	"Köp en Healing Salve"
"[english]basics_objective_BuySalveTitle"	"Purchase Healing Salve"
"basics_objective_BuySalveBody"	"Högerklicka på Healing Salve i Butiken för att köpa en."
"[english]basics_objective_BuySalveBody"	"Right-click the Healing Salve in the shop to purchase."
"basics_objective_BuyClarityTitle"	"Köp en Clarity"
"[english]basics_objective_BuyClarityTitle"	"Purchase Clarity"
"basics_objective_BuyClarityBody"	"Högerklicka på Clarity i Butiken för att köpa en."
"[english]basics_objective_BuyClarityBody"	"Right-click the Clarity in the shop to purchase."
"basics_objective_BuyCircletTitle"	"Köp en Circlet"
"[english]basics_objective_BuyCircletTitle"	"Purchase Circlet"
"basics_objective_BuyCircletBody"	"Högerklicka på Circlet i Butiken för att köpa en."
"[english]basics_objective_BuyCircletBody"	"Right-click the Circlet in the shop to purchase."
"basics_objective_BuySlippersTitle"	"Köp Slippers of Agility"
"[english]basics_objective_BuySlippersTitle"	"Purchase Slippers of Agility"
"basics_objective_BuySlippersBody"	"Högerklicka på Slippers of Agility i Butiken för att köpa dem."
"[english]basics_objective_BuySlippersBody"	"Right-click the Slippers of Agility in the shop to purchase."
"basics_BoughtStartingTitle"	"Startföremål: Överleva på slagfältet"
"[english]basics_BoughtStartingTitle"	"Starting Items: Surviving in the Field"
"basics_LaneIntroTitle"	"Lanes: Tre attackvägar"
"[english]basics_LaneIntroTitle"	"Lanes: Three Paths of Attack"
"basics_LaneIntroBody"	"Det finns tre lanes som korsar slagfältet och ansluter båda lagens baser. Dessa lanes kallas Top, Middle, och Bottom."
"[english]basics_LaneIntroBody"	"There are three lanes that cross the battlefield, connecting the bases of both teams. These lanes are called Top, Middle, and Bottom."
"basics_objective_MoveToMidLaneTitle"	"Gå till Middle Lane"
"[english]basics_objective_MoveToMidLaneTitle"	"Move to the Middle Lane"
"basics_objective_MoveToMidLaneBody"	"Gå (högerklicka) till Middle Lane"
"[english]basics_objective_MoveToMidLaneBody"	"Move (right-click) to the Middle lane"
"basics_CreepsIntroTitle"	"Creeps: Krigets fotsoldater"
"[english]basics_CreepsIntroTitle"	"Creeps: Foot Soldiers of War"
"basics_WinningIntroTitle"	"Seger!"
"[english]basics_WinningIntroTitle"	"Victory!"
"basics_WinningIntroBody"	"Bra jobbat! Du har förstört tornet och slutfört spelmekaniksövningen.\n\nDu är nu redo för vägledda botmatcher. Vägledda botmatcher tar dig igenom en hel Dota-match, steg för steg, med hjälp av datorkontrollerade allierade och fiender. Lycka till, och ha så kul!"
"[english]basics_WinningIntroBody"	"Well done! You've destroyed the Tower and completed the Mechanics tutorial.\n\nYou are now ready for the Guided Bot Matches. Guided Bot Matches take you through a full match of Dota, step by step, with the help of computer-controlled allies and enemies. Good luck, and have fun!"
"basics_QuestSuccessTitle"	"Du vann!"
"[english]basics_QuestSuccessTitle"	"You Win!"
"basics_QuestFailureTitle"	"Du förlorade!"
"[english]basics_QuestFailureTitle"	"You Lose!"
}
